name,userId,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10,oldrank_1,oldrank_2,oldrank_3
Louise Jones,15,Back to the Future (1985),Star Wars: Episode V - The Empire Strikes Back (1980),Good Will Hunting (1997),Terminator 2: Judgment Day (1991),"Silence of the Lambs, The (1991)","Shawshank Redemption, The (1994)","Sixth Sense, The (1999)",Shakespeare in Love (1998),"Fugitive, The (1993)",Star Wars: Episode VI - Return of the Jedi (1983),"Birdcage, The (1996)",Pulp Fiction (1994),Clear and Present Danger (1994)
Louise Jones,16,Schindler's List (1993),"Matrix, The (1999)","Silence of the Lambs, The (1991)","Lord of the Rings: The Return of the King, The (2003)",Goodfellas (1990),Braveheart (1995),Gladiator (2000),American History X (1998),"Green Mile, The (1999)","Sixth Sense, The (1999)","Shawshank Redemption, The (1994)","Godfather, The (1972)","Godfather: Part II, The (1974)"
Louise Jones,17,WALL·E (2008),Guardians of the Galaxy (2014),Ratatouille (2007),"Dark Knight Rises, The (2012)","Incredibles, The (2004)",Star Trek (2009),How to Train Your Dragon (2010),Sherlock Holmes (2009),Inception (2010),"Monsters, Inc. (2001)",Kung Fu Panda (2008),Madagascar: Escape 2 Africa (2008),Despicable Me (2010)
Louise Jones,18,Speed (1994),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Willy Wonka & the Chocolate Factory (1971),Dances with Wolves (1990),Jerry Maguire (1996),Stargate (1994),Fight Club (1999),Kill Bill: Vol. 2 (2004),Jaws (1975),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Batman (1989),Star Wars: Episode V - The Empire Strikes Back (1980),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
Louise Jones,19,"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Toy Story (1995),"Nightmare Before Christmas, The (1993)",Sin City (2005),"Monsters, Inc. (2001)",Full Metal Jacket (1987),"Incredibles, The (2004)",Old Boy (2003),Guardians of the Galaxy (2014),"Beautiful Mind, A (2001)",Ghost in the Shell (Kôkaku kidôtai) (1995),"Godfather, The (1972)",2001: A Space Odyssey (1968)
Louise Jones,20,Jurassic Park (1993),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Saving Private Ryan (1998),Gladiator (2000),"Terminator, The (1984)",Braveheart (1995),Schindler's List (1993),Blade Runner (1982),Indiana Jones and the Last Crusade (1989),"Godfather: Part II, The (1974)",Star Wars: Episode IV - A New Hope (1977),"Shawshank Redemption, The (1994)",Forrest Gump (1994)
Louise Jones,21,Iron Man (2008),Fight Club (1999),District 9 (2009),Avatar (2009),Forrest Gump (1994),Kill Bill: Vol. 1 (2003),"Wolf of Wall Street, The (2013)",Gladiator (2000),Princess Mononoke (Mononoke-hime) (1997),Kill Bill: Vol. 2 (2004),"Shawshank Redemption, The (1994)",Schindler's List (1993),Blade Runner (1982)
Louise Jones,22,"Fugitive, The (1993)",Jurassic Park (1993),Braveheart (1995),GoldenEye (1995),Forrest Gump (1994),"Silence of the Lambs, The (1991)","Firm, The (1993)","Lion King, The (1994)",Babe (1995),Quiz Show (1994),Apollo 13 (1995),Batman Forever (1995),Die Hard: With a Vengeance (1995)
Louise Jones,23,Sling Blade (1996),Goodfellas (1990),My Cousin Vinny (1992),Babe (1995),Monty Python and the Holy Grail (1975),Chasing Amy (1997),Braveheart (1995),Dangerous Liaisons (1988),Citizen Kane (1941),Trading Places (1983),Grumpier Old Men (1995),"American President, The (1995)",Dead Man Walking (1995)
Louise Jones,24,"Matrix, The (1999)",Goodfellas (1990),"Silence of the Lambs, The (1991)",Saving Private Ryan (1998),One Flew Over the Cuckoo's Nest (1975),Pulp Fiction (1994),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),American Beauty (1999),Inception (2010),Good Will Hunting (1997),"Jungle Book, The (1967)",Gone in 60 Seconds (2000),"Usual Suspects, The (1995)"
Louise Jones,25,Interview with the Vampire: The Vampire Chronicles (1994),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Star Trek: Generations (1994),Babe (1995),"Lion King, The (1994)",Ghost (1990),Pretty Woman (1990),Sleepless in Seattle (1993),GoldenEye (1995),Fargo (1996),Dead Man Walking (1995),Seven (a.k.a. Se7en) (1995),Mighty Aphrodite (1995)
Louise Jones,26,Star Wars: Episode V - The Empire Strikes Back (1980),"Fugitive, The (1993)",Fargo (1996),Schindler's List (1993),Fight Club (1999),True Lies (1994),Apollo 13 (1995),Saving Private Ryan (1998),"Dark Knight, The (2008)",Men in Black (a.k.a. MIB) (1997),"Usual Suspects, The (1995)",Terminator 2: Judgment Day (1991),"Matrix, The (1999)"
Louise Jones,27,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Saving Private Ryan (1998),Star Wars: Episode VI - Return of the Jedi (1983),Jurassic Park (1993),When Harry Met Sally... (1989),Groundhog Day (1993),"Bridge on the River Kwai, The (1957)",Terminator 2: Judgment Day (1991),Sleepless in Seattle (1993),Lethal Weapon (1987),Forrest Gump (1994),8 Seconds (1994),Pretty Woman (1990)
Louise Jones,28,Terminator 2: Judgment Day (1991),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Gattaca (1997),Jurassic Park (1993),Total Recall (1990),Independence Day (a.k.a. ID4) (1996),Indiana Jones and the Last Crusade (1989),Brazil (1985),Star Trek: First Contact (1996),Planet of the Apes (1968),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Interview with the Vampire: The Vampire Chronicles (1994),Star Wars: Episode IV - A New Hope (1977)
Louise Jones,29,Pulp Fiction (1994),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Trainspotting (1996),Leaving Las Vegas (1995),Dead Man Walking (1995),Little Miss Sunshine (2006),Edward Scissorhands (1990),Juno (2007),Clerks (1994),Toy Story (1995),Freeway (1996),"Brothers Bloom, The (2008)",Black Swan (2010)
Louise Jones,30,Star Wars: Episode V - The Empire Strikes Back (1980),Back to the Future (1985),Groundhog Day (1993),"Fish Called Wanda, A (1988)",Blade Runner (1982),Being John Malkovich (1999),Airplane! (1980),"Monsters, Inc. (2001)",Toy Story 2 (1999),"Fifth Element, The (1997)","Princess Bride, The (1987)","Blues Brothers, The (1980)",Men in Black (a.k.a. MIB) (1997)
Louise Jones,31,Ghostbusters (a.k.a. Ghost Busters) (1984),"Princess Bride, The (1987)","Truman Show, The (1998)","Mask, The (1994)","Fifth Element, The (1997)",Dumb & Dumber (Dumb and Dumber) (1994),"Graduate, The (1967)",Notting Hill (1999),Total Recall (1990),Edward Scissorhands (1990),"Apartment, The (1960)","Shawshank Redemption, The (1994)",Singin' in the Rain (1952)
Louise Jones,32,Apollo 13 (1995),Braveheart (1995),Die Hard: With a Vengeance (1995),Batman Forever (1995),Outbreak (1995),Stargate (1994),While You Were Sleeping (1995),"Net, The (1995)",Star Trek: Generations (1994),Ghost (1990),Pulp Fiction (1994),"Shawshank Redemption, The (1994)",Clear and Present Danger (1994)
Louise Jones,33,Goodfellas (1990),American Beauty (1999),One Flew Over the Cuckoo's Nest (1975),Inception (2010),Good Will Hunting (1997),"Departed, The (2006)",Seven (a.k.a. Se7en) (1995),Star Wars: Episode IV - A New Hope (1977),"Lord of the Rings: The Return of the King, The (2003)","Lord of the Rings: The Two Towers, The (2002)","Shawshank Redemption, The (1994)","Godfather, The (1972)","Godfather: Part II, The (1974)"
Louise Jones,34,"Shawshank Redemption, The (1994)","Godfather: Part II, The (1974)","Silence of the Lambs, The (1991)","Usual Suspects, The (1995)",One Flew Over the Cuckoo's Nest (1975),American Beauty (1999),Schindler's List (1993),Saving Private Ryan (1998),Forrest Gump (1994),Star Wars: Episode IV - A New Hope (1977),"Godfather, The (1972)",Fight Club (1999),Toy Story 3 (2010)
Louise Jones,35,"Shawshank Redemption, The (1994)","Beautiful Mind, A (2001)",Fight Club (1999),Schindler's List (1993),Mrs. Doubtfire (1993),"Wolf of Wall Street, The (2013)",Catch Me If You Can (2002),Dead Poets Society (1989),Shutter Island (2010),Pretty Woman (1990),Apollo 13 (1995),The Count of Monte Cristo (2002),Mr. Holland's Opus (1995)
Louise Jones,36,Schindler's List (1993),"Princess Bride, The (1987)",Sense and Sensibility (1995),Terminator 2: Judgment Day (1991),Batman (1989),Star Trek: First Contact (1996),Mr. Holland's Opus (1995),Back to the Future (1985),True Lies (1994),Speed (1994),Toy Story (1995),Babe (1995),Braveheart (1995)
Louise Jones,37,"Shawshank Redemption, The (1994)","Matrix, The (1999)",Reservoir Dogs (1992),"Godfather: Part II, The (1974)","Departed, The (2006)",Inglourious Basterds (2009),Trainspotting (1996),"Prestige, The (2006)",Requiem for a Dream (2000),Taxi Driver (1976),"Usual Suspects, The (1995)",Pulp Fiction (1994),One Flew Over the Cuckoo's Nest (1975)
Louise Jones,38,"Bourne Identity, The (2002)","Departed, The (2006)","Godfather, The (1972)",Little Miss Sunshine (2006),Star Wars: Episode VI - Return of the Jedi (1983),V for Vendetta (2006),Sin City (2005),"Bourne Supremacy, The (2004)","Lock, Stock & Two Smoking Barrels (1998)",Casino Royale (2006),American Beauty (1999),Donnie Darko (2001),"Usual Suspects, The (1995)"
Louise Jones,39,Inception (2010),"Godfather, The (1972)",Forrest Gump (1994),Pulp Fiction (1994),Star Wars: Episode V - The Empire Strikes Back (1980),"Silence of the Lambs, The (1991)",American Beauty (1999),"Lord of the Rings: The Return of the King, The (2003)",Eternal Sunshine of the Spotless Mind (2004),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Thin Red Line, The (1998)",Fight Club (1999),Spirited Away (Sen to Chihiro no kamikakushi) (2001)
Louise Jones,40,Seven (a.k.a. Se7en) (1995),No Country for Old Men (2007),Gladiator (2000),Inception (2010),Kill Bill: Vol. 1 (2003),Requiem for a Dream (2000),Forrest Gump (1994),"Princess Bride, The (1987)",One Flew Over the Cuckoo's Nest (1975),Kill Bill: Vol. 2 (2004),"Usual Suspects, The (1995)",Star Wars: Episode IV - A New Hope (1977),Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
Louise Jones,41,Mission: Impossible (1996),Stargate (1994),Demolition Man (1993),Starship Troopers (1997),Cliffhanger (1993),Backdraft (1991),"Lost World: Jurassic Park, The (1997)",Alien³ (a.k.a. Alien 3) (1992),Star Trek IV: The Voyage Home (1986),"Saint, The (1997)",Hackers (1995),"Crow, The (1994)","Fugitive, The (1993)"
Louise Jones,42,Pulp Fiction (1994),"Fugitive, The (1993)",Die Hard (1988),Fargo (1996),Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Shawshank Redemption, The (1994)",Goodfellas (1990),Aliens (1986),"Game, The (1997)",Seven (a.k.a. Se7en) (1995),"Usual Suspects, The (1995)","Silence of the Lambs, The (1991)"
Louise Jones,43,Toy Story 2 (1999),Big Fish (2003),Mission: Impossible (1996),"Blues Brothers, The (1980)",Catch Me If You Can (2002),Edward Scissorhands (1990),"Sting, The (1973)","Untouchables, The (1987)",Life Is Beautiful (La Vita è bella) (1997),Willy Wonka & the Chocolate Factory (1971),"Usual Suspects, The (1995)",Clerks (1994),Pulp Fiction (1994)
Louise Jones,44,"Lord of the Rings: The Fellowship of the Ring, The (2001)","Dark Knight Rises, The (2012)",Interstellar (2014),"Avengers, The (2012)",Star Wars: Episode VII - The Force Awakens (2015),Iron Man (2008),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Edge of Tomorrow (2014),Star Trek (2009),Mad Max: Fury Road (2015),Star Wars: Episode VI - Return of the Jedi (1983),"Matrix, The (1999)","Lord of the Rings: The Two Towers, The (2002)"
Louise Jones,45,Toy Story (1995),"Rock, The (1996)",Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mr. Holland's Opus (1995),Dead Man Walking (1995),Willy Wonka & the Chocolate Factory (1971),Star Wars: Episode IV - A New Hope (1977),Sense and Sensibility (1995),Broken Arrow (1996),Jerry Maguire (1996),Antonia's Line (Antonia) (1995),Once Upon a Time... When We Were Colored (1995),Pulp Fiction (1994)
Louise Jones,46,"Shawshank Redemption, The (1994)",Ferris Bueller's Day Off (1986),Apollo 13 (1995),To Kill a Mockingbird (1962),Stand by Me (1986),Butch Cassidy and the Sundance Kid (1969),Groundhog Day (1993),"Sting, The (1973)",Field of Dreams (1989),When Harry Met Sally... (1989),North by Northwest (1959),Casablanca (1942),"Maltese Falcon, The (1941)"
Louise Jones,47,Sense and Sensibility (1995),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Pulp Fiction (1994),"Silence of the Lambs, The (1991)","Birdcage, The (1996)",Quiz Show (1994),Four Weddings and a Funeral (1994),Apollo 13 (1995),"Usual Suspects, The (1995)",Heat (1995),Leaving Las Vegas (1995),Dead Man Walking (1995),"Postman, The (Postino, Il) (1994)"
Louise Jones,48,Toy Story (1995),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Birdcage, The (1996)",Jerry Maguire (1996),Mr. Holland's Opus (1995),Dead Man Walking (1995),"Nutty Professor, The (1996)","Time to Kill, A (1996)",Phenomenon (1996),Primal Fear (1996),Heat (1995),Casino (1995),Leaving Las Vegas (1995)
Louise Jones,49,Dances with Wolves (1990),Pretty Woman (1990),Apollo 13 (1995),True Lies (1994),Babe (1995),Terminator 2: Judgment Day (1991),Die Hard: With a Vengeance (1995),Clear and Present Danger (1994),Outbreak (1995),Clueless (1995),Batman Forever (1995),"Net, The (1995)",While You Were Sleeping (1995)
Louise Jones,50,"Sixth Sense, The (1999)",Memento (2000),Pretty Woman (1990),"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Donnie Darko (2001),Snatch (2000),"Shawshank Redemption, The (1994)",Mission: Impossible (1996),Aladdin (1992),"Departed, The (2006)",Pulp Fiction (1994),Ace Ventura: Pet Detective (1994),Forrest Gump (1994)
Louise Jones,51,Star Wars: Episode V - The Empire Strikes Back (1980),Pulp Fiction (1994),"Silence of the Lambs, The (1991)",Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Shawshank Redemption, The (1994)","Fugitive, The (1993)",Fight Club (1999),Fargo (1996),Back to the Future (1985),Seven (a.k.a. Se7en) (1995),Braveheart (1995),"Three Billboards Outside Ebbing, Missouri (2017)"
Louise Jones,52,Fight Club (1999),Good Will Hunting (1997),"Sixth Sense, The (1999)",Eternal Sunshine of the Spotless Mind (2004),"Green Mile, The (1999)","Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)","Beautiful Mind, A (2001)","Departed, The (2006)","Pianist, The (2002)",Inception (2010),Dead Poets Society (1989),American History X (1998),American Beauty (1999)
Louise Jones,53,"Shawshank Redemption, The (1994)",Toy Story (1995),"Usual Suspects, The (1995)",Life Is Beautiful (La Vita è bella) (1997),Monty Python's Life of Brian (1979),One Flew Over the Cuckoo's Nest (1975),Finding Nemo (2003),American Beauty (1999),Toy Story 2 (1999),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Some Like It Hot (1959),Casablanca (1942),Monty Python and the Holy Grail (1975)
Louise Jones,54,Die Hard (1988),Star Wars: Episode V - The Empire Strikes Back (1980),"Princess Bride, The (1987)","Shawshank Redemption, The (1994)","Usual Suspects, The (1995)",Back to the Future (1985),Aliens (1986),"Fugitive, The (1993)","Sixth Sense, The (1999)",Star Wars: Episode VI - Return of the Jedi (1983),Muriel's Wedding (1994),"Silence of the Lambs, The (1991)",Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
Louise Jones,55,Life Is Beautiful (La Vita è bella) (1997),Fight Club (1999),Requiem for a Dream (2000),Lost in Translation (2003),American History X (1998),Inception (2010),Intouchables (2011),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Matrix, The (1999)","Godfather, The (1972)",Song of the Little Road (Pather Panchali) (1955),"World of Apu, The (Apur Sansar) (1959)",Central Station (Central do Brasil) (1998)
Louise Jones,56,Star Wars: Episode V - The Empire Strikes Back (1980),Saving Private Ryan (1998),Schindler's List (1993),"Terminator, The (1984)",Fight Club (1999),Alien (1979),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Speed (1994),Mission: Impossible (1996),Aliens (1986),Jurassic Park (1993),Terminator 2: Judgment Day (1991),Independence Day (a.k.a. ID4) (1996)
Louise Jones,57,Catch Me If You Can (2002),Shaun of the Dead (2004),"O Brother, Where Art Thou? (2000)","Truman Show, The (1998)",Edward Scissorhands (1990),No Country for Old Men (2007),Austin Powers: International Man of Mystery (1997),Big Fish (2003),Ace Ventura: Pet Detective (1994),28 Days Later (2002),Good Will Hunting (1997),Rushmore (1998),American Beauty (1999)
Louise Jones,58,North by Northwest (1959),"Graduate, The (1967)",Cool Hand Luke (1967),Rear Window (1954),Citizen Kane (1941),Annie Hall (1977),12 Angry Men (1957),Seven Samurai (Shichinin no samurai) (1954),It's a Wonderful Life (1946),Apocalypse Now (1979),Grumpier Old Men (1995),Naked Gun 33 1/3: The Final Insult (1994),Schindler's List (1993)
Louise Jones,59,"Wizard of Oz, The (1939)",Toy Story (1995),Dead Poets Society (1989),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Being John Malkovich (1999),Toy Story 2 (1999),"O Brother, Where Art Thou? (2000)",Monty Python's Life of Brian (1979),"Sound of Music, The (1965)",Jaws (1975),Boys Don't Cry (1999),Misery (1990),Copycat (1995)
Louise Jones,60,"Princess Bride, The (1987)",Big (1988),Shakespeare in Love (1998),Butch Cassidy and the Sundance Kid (1969),Ghostbusters (a.k.a. Ghost Busters) (1984),"Sting, The (1973)",When Harry Met Sally... (1989),"Terminator, The (1984)","Breakfast Club, The (1985)",Lethal Weapon (1987),Withnail & I (1987),Henry V (1989),Raging Bull (1980)
Louise Jones,61,Mary Poppins (1964),"Lion King, The (1994)",E.T. the Extra-Terrestrial (1982),Sleepless in Seattle (1993),Braveheart (1995),Pinocchio (1940),"South Park: Bigger, Longer and Uncut (1999)","Bug's Life, A (1998)",Casablanca (1942),Being John Malkovich (1999),Dead Man Walking (1995),"Usual Suspects, The (1995)",Star Wars: Episode IV - A New Hope (1977)
Louise Jones,62,"Shawshank Redemption, The (1994)",Donnie Darko (2001),Full Metal Jacket (1987),Batman Begins (2005),"Prestige, The (2006)",V for Vendetta (2006),Reservoir Dogs (1992),Apocalypse Now (1979),Juno (2007),"Sixth Sense, The (1999)","Godfather, The (1972)",Monty Python and the Holy Grail (1975),"Godfather: Part II, The (1974)"
Louise Jones,63,10 Things I Hate About You (1999),(500) Days of Summer (2009),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Harry Potter and the Half-Blood Prince (2009),Harry Potter and the Order of the Phoenix (2007),Harry Potter and the Chamber of Secrets (2002),Toy Story (1995),Harry Potter and the Deathly Hallows: Part 1 (2010),Silver Linings Playbook (2012),Black Swan (2010),How to Lose a Guy in 10 Days (2003),Love Actually (2003),13 Going on 30 (2004)
Louise Jones,64,"Monsters, Inc. (2001)",Avatar (2009),Shrek (2001),Gladiator (2000),"Avengers, The (2012)",The Martian (2015),Inglourious Basterds (2009),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)","Princess Bride, The (1987)",Star Wars: Episode IV - A New Hope (1977),"Shawshank Redemption, The (1994)",Forrest Gump (1994)
Louise Jones,65,"Dark Knight, The (2008)",Inception (2010),Interstellar (2014),"Avengers, The (2012)","Lord of the Rings: The Two Towers, The (2002)","Lord of the Rings: The Fellowship of the Ring, The (2001)",Edge of Tomorrow (2014),Star Wars: Episode VII - The Force Awakens (2015),The Imitation Game (2014),Captain America: The Winter Soldier (2014),"Lord of the Rings: The Return of the King, The (2003)","Prestige, The (2006)",Iron Man (2008)
Louise Jones,66,Forrest Gump (1994),Groundhog Day (1993),Dumb & Dumber (Dumb and Dumber) (1994),Good Will Hunting (1997),Finding Nemo (2003),"Mask, The (1994)",Beauty and the Beast (1991),Happy Gilmore (1996),"Green Mile, The (1999)","Truman Show, The (1998)",GoldenEye (1995),Clueless (1995),"Shawshank Redemption, The (1994)"
Louise Jones,67,Cinderella (1950),"Bug's Life, A (1998)",Toy Story 2 (1999),Babe (1995),"Sixth Sense, The (1999)",Mission: Impossible (1996),Mary Poppins (1964),"Wizard of Oz, The (1939)",Star Wars: Episode VI - Return of the Jedi (1983),"Fugitive, The (1993)","Nightmare Before Christmas, The (1993)","Sword in the Stone, The (1963)","Great Mouse Detective, The (1986)"
Louise Jones,68,Fight Club (1999),Forrest Gump (1994),"Shawshank Redemption, The (1994)",Pirates of the Caribbean: The Curse of the Black Pearl (2003),American History X (1998),Batman Begins (2005),"Godfather, The (1972)","Departed, The (2006)",Inglourious Basterds (2009),Snatch (2000),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Dark Knight, The (2008)","Matrix, The (1999)"
Louise Jones,69,Pirates of the Caribbean: The Curse of the Black Pearl (2003),"Usual Suspects, The (1995)",Ocean's Eleven (2001),Eternal Sunshine of the Spotless Mind (2004),"Shawshank Redemption, The (1994)",Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Fugitive, The (1993)",Snatch (2000),Back to the Future (1985),"Godfather, The (1972)",Four Rooms (1995),Braveheart (1995),Dumb & Dumber (Dumb and Dumber) (1994)
Louise Jones,70,Fight Club (1999),Seven (a.k.a. Se7en) (1995),Fargo (1996),Kill Bill: Vol. 2 (2004),Ferris Bueller's Day Off (1986),Casablanca (1942),Blade Runner (1982),True Lies (1994),Amadeus (1984),Titanic (1997),"Usual Suspects, The (1995)","Princess Bride, The (1987)",Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
Louise Jones,71,Star Wars: Episode VI - Return of the Jedi (1983),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),Toy Story (1995),Saving Private Ryan (1998),Back to the Future (1985),"Dark Knight, The (2008)",Terminator 2: Judgment Day (1991),WALL·E (2008),Gladiator (2000),"Usual Suspects, The (1995)",Braveheart (1995),Apollo 13 (1995)
